Company Name,Website (Email Domain),Employee Size,Address (Company),Country,Email (Company),Phone Number (Company)
Chargebee,chargebee.com,"1,158 Employees","909 Rose Ave Ste 950, North Bethesda, Maryland, 20852, United States",United States,support@chargebee.com,(833) 965-2800
ChartMogul GmbH & Co. KG,chartmogul.com,Approximately 60-75 employees,"c/o WeWork, Kemperplatz 1, 10785 Berlin, Germany",Germany,info@chartmogul.com,+49 442032861115
ChurnZero,churnzero.com,51-200 employees,"717 D Street, 2nd Floor, Washington, District of Columbia 20004, US",United States,support@churnzero.com,+1 415-508-7264
CitrusAd,citrusad.com,270,"116 Adelaide St, Brisbane, Queensland, 4000, Australia",Australia,info@citrusad.com,+61 6506663406
CJ Affiliate,cj.com,838,"530 E Montecito St, Santa Barbara, CA 93103-3245",United States,There is no direct public email listed; contact is via web forms on cj.com/contact-us.,(805) 730-8000; Toll Free: 800-761-1072; US Local: 805-539-4598
CleverTap,clevertap.com,501-1000 employees,"535 Mission St, Unit 1624, San Francisco, CA 94105, USA",United States,info@clevertap.com,+1 908-763-4921
"ClickHouse, Inc.",clickhouse.com,201-500,"San Francisco Bay Area, California, USA; Amsterdam, Netherlands","United States (HQ), Netherlands (subsidiary)",info@clickhouse.com,
ClickUp,clickup.com,"Approximately 1,000 employees","350 10th Ave, Suite 500, San Diego, CA 92101",United States,Not publicly listed; general contact often via website or support@clickup.com,(888) 625-4258
ClientSuccess,clientsuccess.com,11-50,"2901 Blue Grass Blvd., Lehi, Utah 84043",United States,hello@clientsuccess.com,+1 801.900.5094
Close Contact Ltd,"N/A (no official domain listed; typical domains would be closecontact.co.uk or similar, but none confirmed)[1]",Not publicly stated (small company due to recent incorporation in 2021; likely <10 employees)[1],"11 Portland Road, Kilmarnock, Scotland, KA1 2BT[1]",United Kingdom (Scotland)[1],"Not publicly listed. For official inquiries, use Companies House: enquiries@companieshouse.gov.uk[1][3]","Not publicly listed. For official inquiries, call Companies House: 0303 1234 500[3]"
